School Name	Average Point Score	School Type
Saint Paul's Catholic School	25.65	Voluntary aided school
Wyggeston and Queen Elizabeth I College	28.75	Sixth Form College
The Cedars Academy	29.62	Academy converter - mainstream
Charnwood College	29.72	Sponsored academy
Charnwood College (Upper)	24.93	Academy converter - mainstream
Countesthorpe Community College	27.97	Academy converter - mainstream
De Lisle Catholic School Loughborough Leicestershire	27.17	Academy converter - mainstream
Dixie Grammar School	33.9	Independent school
Groby Community College	27.35	Academy converter - mainstream
Heath Lane Academy	29.72	Academy converter - mainstream
Hinckley Academy and John Cleveland Sixth Form Centre	34.19	Academy converter - mainstream
Hind Leys Community College	27.2	Community school
Ashby School	28.46	Academy converter - mainstream
John Ferneley College	29.72	Academy converter - mainstream
King Edward VII Science and Sport College	26.42	Academy converter - mainstream
Leicester Grammar School Trust	41.4	Independent school
Long Field Academy	29.72	Academy converter - mainstream
Loughborough College	24.11	General Further Education College
Loughborough Grammar School	37.86	Independent school
Loughborough High School	43.13	Independent school
Lutterworth College	28.13	Academy converter - mainstream
The Midland Studio College Hinckley	7.5	Free school - studio school
Our Lady's Convent School	35.81	Independent school
Beauchamp College	29.07	Academy converter - mainstream
Ratcliffe College	38.8	Independent school
Rawlins Academy	29.34	Academy converter - mainstream
The Robert Smyth Academy	32.88	Academy converter - mainstream
Belvoir High School and Melton Vale Post 16 Centre	32.16	Academy converter - mainstream
Sir Frank Whittle Studio School	24.62	Free school - studio school
Sketchley School	29.72	Independent special school
Stephenson College	29.72	General Further Education College
Stephenson Studio School	18.48	Free school - studio school
Twycross House School	41.92	Independent school
Welbeck, the Defence Sixth Form College	36.28	College funded by Ministry of Defence
Wigston College	24.88	Academy converter - mainstream
The William Bradford Academy	37.06	Sponsored academy
Bosworth Academy	30.37	Academy converter - mainstream
Wreake Valley Academy	28.1	Academy converter - mainstream
Brooke House College	30.78	Independent school
Brooksby Melton College	29.72	Agriculture and Horticulture College
Cordeaux Academy	20.67	Sponsored academy
De Aston School	26.09	Academy converter - mainstream
The Deepings School	28.76	Academy converter - mainstream
The Giles Academy	21.29	Academy converter - mainstream
Grantham College	20.26	General Further Education College
Kesteven and Grantham Girls' School	36.18	Academy converter - mainstream
Kesteven and Sleaford High School Selective Academy	35.37	Academy converter - mainstream
King Edward VI Grammar School	37.03	Academy converter - mainstream
The King's School, Grantham	34.1	Academy converter - mainstream
Kirkstone House School	29.72	Independent school
Lincoln Castle Academy	25.27	Academy converter - mainstream
Lincoln Christ's Hospital School	27.93	Academy converter - mainstream
Lincoln College	22.31	General Further Education College
Lincoln Minster School	34.08	Independent school
Lincoln UTC	27.98	Free school - UTC (university technical college)
Monks' Dyke Tennyson College	21.09	Foundation school
New College Stamford	20.8	General Further Education College
North Kesteven School	26.12	Academy converter - mainstream
The Priory Academy LSST	33.11	Sponsored academy
The Priory City of Lincoln Academy	21.94	Sponsored academy
The Priory Ruskin Academy	25.45	Sponsored academy
The Priory Witham Academy	27.83	Sponsored academy
Queen Elizabeth's Grammar Alford - A Selective Academy	37.38	Academy converter - mainstream
Queen Elizabeth's Grammar School, Horncastle	35.25	Academy converter - mainstream
The Queen Elizabeth's High School, Gainsborough	32.97	Community school
Regents Academy	29.72	Independent school
St George's Academy	26.87	Sponsored academy
St Peter and St Paul, Catholic Voluntary Academy	25.4	Academy converter - mainstream
Sir John Gleed School	19.4	Academy converter - mainstream
Sir Robert Pattinson Academy	26.99	Academy converter - mainstream
Sir William Robertson Academy, Welbourn	25.57	Academy converter - mainstream
Skegness Academy	21.59	Sponsored academy
Skegness Grammar School	31.27	Academy converter - mainstream
Spalding Grammar School	30.51	Academy converter - mainstream
Spalding High School	34.43	Community school
Stamford High School	40.99	Independent school
Stamford School	36.23	Independent school
University Academy Holbeach	22.23	Sponsored academy
Walton Girls' High School & Sixth Form	26.54	Academy converter - mainstream
William Farr CofE Comprehensive School	32.43	Academy converter - mainstream
Boston College	23.58	General Further Education College
The Boston Grammar School	27.69	Academy converter - mainstream
Boston High School	32.6	Academy converter - mainstream
Bourne Academy	27.07	Academy converter - mainstream
Bourne Grammar School	36.24	Academy converter - mainstream
Branston Community Academy	28.04	Academy converter - mainstream
Caistor Grammar School	36.34	Academy converter - mainstream
Carre's Grammar School	31.96	Academy converter - mainstream
Chenderit School	28.73	Academy converter - mainstream
Corby Business Academy	25.78	Sponsored academy
Corby Technical School	29.72	Free school - mainstream
Daventry Hill School	29.72	Free school - special
Daventry UTC	29.72	Free school - UTC (university technical college)
DSLV E-ACT Academy	22.69	Sponsored academy
Abbeyfield School	27.1	Sponsored academy
The Duston School	29.33	Academy converter - mainstream
Elizabeth Woodville School	31.77	Academy converter - mainstream
The Ferrers School	25.39	Academy converter - mainstream
Guilsborough Academy	31.63	Academy converter - mainstream
Huxlow Science College	27.07	Academy converter - mainstream
Kettering Buccleuch Academy	24.86	Sponsored academy
Kettering Science Academy	25.89	Sponsored academy
Kingsthorpe College	22.26	Academy converter - mainstream
Kingswood Secondary Academy	21.26	Sponsored academy
The Latimer Arts College	28.97	Foundation school
Lodge Park Academy	29.66	Sponsored academy
Magdalen College School	27.14	Academy converter - mainstream
Malcolm Arnold Academy	26.7	Sponsored academy
Manor School Sports College	21.98	Academy converter - mainstream
Montsaye Academy	26.15	Academy converter - mainstream
Moulton College	29.72	Agriculture and Horticulture College
Moulton School and Science College	34.08	Academy converter - mainstream
Northampton Academy	26.78	Sponsored academy
Northampton College	20.75	General Further Education College
Northampton High School	42.61	Independent school
Northampton International Academy	29.72	Free school - mainstream
Northampton School for Boys	31.28	Academy converter - mainstream
Northampton School for Girls	31.33	Academy converter - mainstream
Oundle School	45.49	Independent school
Overstone Park School	29.72	Independent school
The Parker E-ACT Academy	20.43	Sponsored academy
Pitsford School	37.69	Independent school
Prince William School	31.14	Sponsored academy
Quinton House School	28.74	Independent school
Rushden Community College	27.24	Sponsored academy
St Andrew's College	29.72	Independent school
Silverstone UTC	22.19	Free school - UTC (university technical college)
Sir Christopher Hatton Academy	33.22	Academy converter - mainstream
Southfield School for Girls	29.9	Academy converter - mainstream
Sponne School	29.24	Academy converter - mainstream
Bishop Stopford School	32.11	Academy converter - mainstream
Thomas Becket Catholic School	22.57	Voluntary aided school
Tresham College of Further and Higher Education	22.19	General Further Education College
Weavers Academy	23.2	Sponsored academy
Wellingborough School	36.55	Independent school
Weston Favell Academy	22.16	Sponsored academy
Wollaston School	30.52	Community school
Wootton Park School	29.72	Free school - mainstream
Bosworth Independent College	37.61	Independent school
Wren Spinney Community Special School	29.72	Community special school
Wrenn School	25.91	Sponsored academy
Brooke Weston Academy	31.27	Sponsored academy
Campion School	29.63	Academy converter - mainstream
Caroline Chisholm School	32.55	Academy converter - mainstream
Harington School	29.72	Free school - 16-19
Oakham School	42.08	Independent school
Uppingham School	39.69	Independent school
Casterton College Rutland	30.46	Academy converter - mainstream
North Hykeham Joint Sixth Form	26.53	
Sleaford Joint Sixth Form	29.95	
The Community College, Bishop's Castle	29.72	Foundation school
Concord College	51.16	Independent school
Ellesmere College	30.75	Independent school
The Grove School	26.2	Foundation school
Idsall School	30.87	Academy converter - mainstream
The Marches School	28.58	Academy converter - mainstream
Moreton Hall School	39.61	Independent school
North Shropshire College	24.6	General Further Education College
Oldbury Wells School	24.8	Academy converter - mainstream
Oswestry School	36.78	Independent school
Bedstone College	27.32	Independent school
Adcote School for Girls	33.57	Independent school
Shrewsbury Colleges Group	31.01	Sixth Form College
Shrewsbury High School	36.86	Independent school
Shrewsbury School	41.14	Independent school
Sir John Talbot's Technology College	24.26	Sponsored academy
The Thomas Adams School, Wem	28.1	Voluntary controlled school
William Brookes School	26.5	Academy converter - mainstream
Bridgnorth Endowed School	25.49	Academy converter - mainstream
Chase Grammar School	41.03	Independent school
Chase Grammar School International Study Centre	25.77	Independent school
